district_id,pcode,educgengap2018,educgengap2015,educgengap2011,educgengap2008,educgengap2000,educgengap1990,educgengap1985
Aladağ,TUR001001,.313890261987148,.350714372939309,.342142857142857,.34021654202478,.113966017405719,.136286633914958,.
Ceyhan,TUR001002,.165472752503469,.188674498754748,.20141440929469,.09,.124117872522715,.153247556600272,.175578774841221
Çukurova,TUR001003,-.0225770983327519,-.00164429949043,.0111107171140503,.23019066954706,.,.,.
Feke,TUR001004,.31151832460733,.322807869808113,.291787224571556,.150921897659001,.144928909952607,.121212121212121,.123334695545566
İmamoğlu,TUR001005,.199446769274417,.227256810701029,.222523834745763,.138062305691263,.116655865197667,.134784403940306,
Karaisalı,TUR001006,.301438914856567,.292997832438036,.278373155305692,.132889525575124,.12064462350653,.174930983223614,.205127351423339
Karataş,TUR001007,.212322511002242,.238670973696354,.222526435045317,.19989281886388,.163845336997939,.234594168636722,.237270494192098
Kozan,TUR001008,.177021171608765,.192005599191228,.210343794826526,.179707968560291,.137087408312958,.16357650911696,.187276766881345
Pozantı,TUR001009,.229950319375444,.224170918367347,.190693430656934,.187724633674316,.169506043589988,.206550022431584,.135644136337377
Saimbeyli,TUR001010,.302728512960437,.284725918041511,.238999759557586,.127262180974478,.1328125,.132144227080936,.140936351325208
Sarıçam,TUR001011,.11905604719764,.132101905629837,.164581057370808,.185715624707095,.,.,.
Seyhan,TUR001012,.129346759824628,.152969121140143,.149857751556867,.165225237585153,.0620233517119956,.123768337098611,.172441422733005
Tufanbeyli,TUR001013,.328066479400749,.353470741530443,.343519494204426,.193451744061631,.153394064061123,.152321927374302,.142879209144269
Yumurtalık,TUR001014,.195265626704483,.194373965802537,.231562603970278,.189711597463694,.137912673056443,.160210930009588,.178856914468425
Yüreğir,TUR001015,.214205115042448,.239125420470927,.233174765566436,.175378127798049,.142807594824136,.193291184671875,.
Merkez2,TUR002001,.152137913744532,.182997557997558,.212215685539776,.197784378386385,.140063749919099,.211045273585779,.220196950351487
Besni,TUR002002,.238357811111692,.244909396600037,.230590178705511,.164878291107799,.140738147445229,.199867923668989,.239883704303894
Çelikhan,TUR002003,.305544834684163,.31096826034552,.310087836039393,.233992405394789,.264812062008919,.210792741165234,.179461615154536
Gerger,TUR002004,.36569204880101,.394792612776264,.354975877013656,.0969834087481146,.0895775411948193,.136310223266745,.195604522381172
Gölbaşı,TUR002005,.185080727569998,.194267782426778,.209598100729184,.171837507893075,.159639818382998,.14314640054959,.178006816408656
Kahta,TUR002006,.220627669083325,.247377920043588,.241689573338342,.155745570444498,.194014647254079,.233654312143113,.273947528981086
Samsat,TUR002007,.248116393868537,.22390243902439,.237171464330413,.188756515264334,.164504244754125,.194877120110765,.189829926129531
Sincik,TUR002008,.291519232964274,.31031410113611,.311100196463654,.03915607149438,.154803956199223,.208601087493821,.
Tut,TUR002009,.345087647778231,.347046843177189,.320578542658367,.150354609929078,.198309492847854,.223520710059172,.
Merkez3,TUR003001,.0493907156033668,.0762516515334664,.112785029092625,.197601174250367,.115146458655837,.154660627079057,.194439398893208
Başmakçı,TUR003002,.189103201431696,.210179988387846,.20943083440781,.157743957027753,.114342366159947,.0727459016393443,.
BayatA,TUR003003,.220190380761523,.237728585178056,.293742331288343,.153077816492451,.107843137254902,.106096256684492,.
Bolvadin,TUR003004,.136965851838029,.145974825681427,.151163819807063,.192649751504054,.138052869116699,.150235323259846,.195294560511952
Çay,TUR003005,.143453865336658,.172077324332617,.184241019698725,.196908147145114,.0848099612521224,.0859579460337515,.132934828607702
Çobanlar,TUR003006,.253915453915454,.302844076032585,.34165435745938,.230138619764495,.183223313476091,.236277042298999,.
Dazkırı,TUR003007,.143113987774182,.182618261826183,.174420661595613,.171185539606592,.160973016084009,.130653899458234,.107906753184331
Dinar,TUR003008,.187940122285473,.205788322396096,.20727125833165,.194636747035888,.142083865721919,.10052365197958,.120249287559592
Emirdağ,TUR003009,.236881399317406,.245072238036414,.239687469669028,.22106661779529,.243342676944639,.154066642780365,.149421742482652
Evciler,TUR003010,.205270092226614,.247885835095137,.271481942714819,.212795549374131,.109819389661615,.0683172002978407,.
Hocalar,TUR003011,.212538540596095,.223177643150283,.201659451659452,.101561159718648,.134707058280793,.109555003388299,.
İhsaniye,TUR003012,.158829309376755,.178738401783788,.190985162787427,.114805229278652,.0971418342383197,.086625447445493,.0845557708275671
İscehisar,TUR003013,.161158041499221,.178065260382334,.179589131875414,.137800571716832,.113675136930951,.272403846153846,.
Kızılören,TUR003014,.384377416860015,.398612181958365,.399718508092892,.234348075818495,.163255813953488,.131428571428571,.
Sandıklı,TUR003015,.115355126507284,.127023530645782,.144307661678336,.152487910409773,.0810277692386515,.072894313304721,.104334221526878
Sincanlı,TUR003016,.187326637972262,.203211678832117,.209114139693356,.135593220338983,.15183838660996,.137067309503183,.149697759867251
Sultandağı,TUR003017,.165136444784494,.191790952791816,.214439046435431,.228809308857458,.101092896174863,.115374776157585,.110952100345147
Şuhut,TUR003018,.131024096385542,.14275009366804,.152071851398245,.126136363636364,.114155095356692,.138637209879608,.114932207955464
Merkez4,TUR004001,.290606277139559,.32648484510809,.369990339295647,.181589180849221,.285808580858086,.297968441814596,.369021417082875
